# default module
# Deprecated code patterns and breaking changes
#
# This file lists deprecated code patterns (replace with newer alternatives)
# and breaking changes (migration notes). The checker scans the codebase
# for deprecations; breaking changes are shown as informational only.
#
# Part of »Zugzwang Project«
# https://www.zugzwang.org/modules/default
#
# @author Gustaf Mossakowski <gustaf@koenige.org>
# @copyright Copyright © 2025-2026 Gustaf Mossakowski
# @license http://opensource.org/licenses/lgpl-3.0.html LGPL-3.0
#
#: Identifier	Type	Search Text	Message	Exclude Pattern
# exclude_pattern: files matching this pattern will be excluded from results (multiple patterns separated by semicolon)
#
2024-10-25-1	code	role="main"	consider using <main> element instead
2025-12-11-1	code	language_en	use `language` and translation functions	
2025-12-11-2	code	language_de	use `language` and translation functions	zzwrap/language.inc.php;zzwrap/configuration/settings.cfg;mediadb/mediadb/folder.inc.php;mediadb/zzbrick_forms/comment.php;mediadb/zzbrick_forms/comments.php;mediadb/zzform_subs/objects-text-descriptions.php;mediadb/zzform_subs/objects-text-titles.php
2025-12-11-3	code	language_fr	use `language` and translation functions	
2025-12-11-4	code	language_%s	use `language` and translation functions	
2026-01-04-1	code	default_login_css_background_color	use `#login { --background-color-login: color }`	default/layout/login.css;default/configuration/settings.cfg
2026-02-16-1	code	default_sync_server_path	use zzform_sync_server_path instead
2026-03-14-1	code	?filter[maincategory]=%	use path `default_categorytree` instead	default/configuration/routes.cfg;zzwrap/zzwrap/routes.inc.php
2026-03-14-2	code	default_helptext_path	removed, paths from routes; use wrap_path()
2026-03-14-3	code	default_logout_path	removed, paths from routes; use wrap_path()
2026-03-14-4	code	default_maintenance_path	removed, paths from routes; use wrap_path()
2026-03-14-5	code	default_masquerade_path	removed, paths from routes; use wrap_path()
2026-03-14-6	code	default_proxy_path	removed, paths from routes; use wrap_path()
2026-03-14-7	code	default_settings_path	removed, paths from routes; use wrap_path()
2026-03-14-8	code	default_tables_path	removed, paths from routes; use wrap_path()
2026-03-14-9	code	default_website_path	removed, paths from routes; use wrap_path()
2026-03-14-10	code	search_path	removed, paths from routes; use wrap_path()
2026-03-14-11	code	default_categories_form_path	removed, paths from routes; use wrap_path()
2026-04-11-1	code	default_logout	route `logout` in zzwrap; use wrap_path('logout') or %%% path logout %%%
